"연령대별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령대별(1)",총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종
"연령대별(1)",소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자
"80세",63691,24223,3449,20771,1,2,-,-,39468,29898,46,9524,62824,25310,3562,21741,3,4,-,-,37514,29098,34,8382,72430,30847,4189,26653,0,3,2,0,41583,32925,52,8606,86022,38653,5317,33331,0,4,1,0,47369,38084,87,9198
"81세",50678,17833,2433,15399,-,-,-,1,32845,24384,33,8428,55780,20751,2916,17832,1,2,-,-,35029,26308,43,8678,54882,21503,2972,18526,2,3,0,0,33379,25880,33,7466,62482,26103,3474,22624,0,3,2,0,36379,28918,40,7421
"82세",41060,13297,1769,11524,1,3,-,-,27763,20246,31,7486,43644,14754,2029,12724,-,-,-,1,28890,21222,26,7642,48476,17744,2489,15252,1,2,0,0,30732,23029,38,7665,46654,18004,2433,15566,2,3,0,0,28650,22329,26,6295
"83세",32586,9520,1221,8295,1,3,-,-,23066,16229,26,6811,34855,10694,1418,9272,1,3,-,-,24161,17414,28,6719,37887,12986,1784,11201,0,0,0,1,24901,18251,24,6626,40251,14265,1926,12337,1,1,0,0,25986,19577,30,6379
"84세",25877,6838,889,5946,-,3,-,-,19039,13187,25,5827,27561,7686,1018,6664,1,3,-,-,19875,13833,23,6019,29939,9411,1247,8161,1,2,0,0,20528,14706,25,5797,30685,9992,1310,8681,0,0,0,1,20693,15202,20,5471
"85세",19132,4624,571,4053,-,-,-,-,14508,9789,15,4704,21584,5458,701,4754,-,3,-,-,16126,11049,20,5057,23107,6432,844,5584,1,3,0,0,16675,11573,20,5082,23873,7113,904,6207,1,1,0,0,16760,12035,21,4704
"86세",13425,3078,392,2685,-,-,-,1,10347,6808,5,3534,15783,3622,452,3170,-,-,-,-,12161,8123,11,4027,17679,4395,540,3853,0,2,0,0,13284,9058,15,4211,18291,4842,597,4242,1,2,0,0,13449,9418,15,4016
"87세",10123,2199,285,1914,-,-,-,-,7924,5191,4,2729,10958,2330,282,2047,-,-,-,1,8628,5631,3,2994,12746,2886,344,2542,0,0,0,0,9860,6510,6,3344,13903,3341,388,2951,0,2,0,0,10562,7243,12,3307
"88세",6657,1431,174,1257,-,-,-,-,5226,3357,9,1860,8161,1638,208,1430,-,-,-,-,6523,4239,4,2280,8770,1826,212,1613,0,0,0,1,6944,4538,3,2403,9934,2206,257,1949,0,0,0,0,7728,5166,5,2557
"89세",4660,944,118,825,-,1,-,-,3716,2383,5,1328,5358,1072,125,947,-,-,-,-,4286,2734,6,1546,6474,1293,166,1127,0,0,0,0,5181,3400,3,1778,6738,1377,157,1219,0,0,0,1,5361,3591,2,1768
"90세",3918,807,98,709,-,-,-,-,3111,2087,5,1019,3731,705,90,614,-,1,-,-,3026,1950,3,1073,4189,857,102,755,0,0,0,0,3332,2159,5,1168,4965,955,125,830,0,0,0,0,4010,2676,3,1331
"91세",2584,482,59,423,-,-,-,-,2102,1366,8,728,3139,605,78,526,-,-,1,-,2534,1715,2,817,2930,573,70,502,0,1,0,0,2357,1539,3,815,3172,657,77,580,0,0,0,0,2515,1672,5,838
"92세",1758,322,45,277,-,-,-,-,1436,923,-,513,2019,358,43,315,-,-,-,-,1661,1076,6,579,2486,512,63,448,0,0,1,0,1974,1342,1,631,2183,422,49,372,0,1,0,0,1761,1183,3,575
"93세",1041,196,25,170,-,1,-,-,845,529,1,315,1395,258,37,221,-,-,-,-,1137,738,-,399,1588,303,36,267,0,0,0,0,1285,842,3,440,1889,401,50,350,0,0,1,0,1488,1059,1,428
"94세",689,109,12,97,-,-,-,-,580,371,1,208,825,143,18,124,-,1,-,-,682,432,1,249,1078,216,29,187,0,0,0,0,862,581,0,281,1200,247,28,219,0,0,0,0,953,657,3,293
"95세",542,114,24,90,-,-,-,-,428,304,1,123,567,81,9,72,-,-,-,-,486,311,-,175,649,123,16,106,0,1,0,0,526,343,1,182,827,173,26,147,0,0,0,0,654,458,0,196
"96세",512,122,20,100,2,-,-,-,390,297,1,92,447,95,15,80,-,-,-,-,352,257,1,94,443,74,8,66,0,0,0,0,369,242,0,127,500,109,13,95,0,1,0,0,391,269,1,121
"97세",348,70,10,60,-,-,-,-,278,200,1,77,418,102,17,83,2,-,-,-,316,242,1,73,355,80,11,69,0,0,0,0,275,211,1,63,337,66,8,58,0,0,0,0,271,197,0,74
"98세",193,54,8,45,-,1,-,-,139,106,-,33,301,63,9,54,-,-,-,-,238,178,-,60,350,94,17,75,2,0,0,0,256,200,1,55,299,75,10,65,0,0,0,0,224,177,1,46
"99세 이상",524,156,24,131,-,1,-,-,368,307,1,60,649,198,30,166,-,2,-,-,451,380,1,70,843,256,38,216,0,2,0,0,587,504,1,82,1054,332,52,276,2,2,0,0,722,627,2,93
